title,exam_date,description
Ujian SU,2024-11-07,"- buku Herri Susanto 1-4
- materi sampai dengan turbin
- kerjakan latian soal hands out"
Ujian Biober,2024-10-26,"Materi:
- sustainability development (SD)
- IGCC"
